SpeedGrade,DataRate,tCKmin,CL=nRCD=nRP*,CL_DBI,tAA=tRCD=tRP*,tAA_DBI,tRAS*,tRC*,-062F,-062Y,-062E,-062,-068F,-068E,-068,-068D,-075F,-075E,-075,-075D,-083F,-083E,-083,-083D,-093F,-093E,-093,-107F,-107E,-107,-125F,-125E,-125
-15?,1333,1.5,10,12,15,18,36,51,,,,,,,,,,,,,,,,,,,,,,,,,
-15E?,1333,1.5,9,11,13.5,16.5,36,49.5,,,,,,,,,,,,,,,,,,,,,,,,,
-125,1600,1.25,12,14,15,17.5,35,50,,,,,,,,,,,,,,,,,,,,,,,,,0
-125E,1600,1.25,11,13,13.75,16.25,35,48.75,,,,,,,,,,,,,,,,,,,,,,,,0,0
-125F,1600,1.25,10,12,12.5,15,35,47.5,,,,,,,,,,,,,,,,,,,,,,,0,0,0
-107,1866,1.071,14,16,15,17.142,34,49,,,,,,,,,,,,,,,,,,,,,,0,3,2,0
-107E,1866,1.071,13,15,13.92,16.062,34,47.92,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0
-107F,1866,1.071,12,14,12.85,14.992,34,46.85,,,,,,,,,,,,,,,,,,,,0,1,0,2,1,0
-093,2133,0.937,16,19,15,17.811,33,48,,,,,,,,,,,,,,,,,,,0,3,3,0,3,2,0
-093E,2133,0.937,15,18,14.06,16.871,33,47.06,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0
-093F,2133,0.937,14,17,13.13,15.941,33,46.13,,,,,,,,,,,,,,,,,0,2,0,2,2,0,2,1,0
-083D,2400,0.833,18,21,15,17.499,32,47,,,,,,,,,,,,,,,,0,3,4,0,3,3,0,3,2,0
-083,2400,0.833,17,20,14.16,16.659,32,46.16,,,,,,,,,,,,,,,0,0,2,1,0,2,1,0,2,1,0
-083E,2400,0.833,16,19,13.32,15.819,32,45.32,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,1,0,0
-083F,2400,0.833,15,18,12.5,14.999,32,44.5,,,,,,,,,,,,,0,3,3,0,2,3,0,2,2,0,2,1,0
-075D,2666,0.75,20,23,15,17.25,32,47,,,,,,,,,,,,0,4,6,4,0,3,4,0,3,3,0,3,2,0
-075,2666,0.75,19,22,14.25,16.5,32,46.25,,,,,,,,,,,0,0,3,2,0,0,2,1,0,2,1,0,2,1,0
-075E,2666,0.75,18,21,13.5,15.75,32,45.5,,,,,,,,,,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0
-075F,2666,0.75,17,20,12.75,15,32,44.75,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-068D,2933,0.682,22,26,15,17.728,32,47,,,,,,,,0,9,7,5,0,4,6,4,0,3,4,0,3,3,0,3,2,0
-068,2933,0.682,21,25,14.32,17.048,32,46.32,,,,,,,0,0,4,2,0,0,3,2,0,0,2,1,0,2,1,0,2,1,0
-068E,2933,0.682,20,24,13.64,16.368,32,45.64,,,,,,0,0,0,4,2,0,0,3,2,0,0,2,1,0,2,1,0,2,1,0
-068F,2933,0.682,19,23,12.96,15.688,32,44.96,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-062,3200,0.625,24,28,15,17.5,32,47,,,,0,11,7,6,0,9,7,5,0,4,6,4,0,3,4,0,3,3,0,3,2,0
-062E,3200,0.625,22,26,13.75,16.25,32,45.75,,,0,0,5,1,0,0,4,2,0,0,3,2,0,0,2,1,0,2,1,0,2,1,0
-062Y,3200,0.625,22,26,13.75,16.25,32,45.75,,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-062F,3200,0.625,20,24,12.5,15,32,44.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
